,Gemeentenaam,energetic_emissions_other_ghg_agriculture,energetic_emissions_other_ghg_buildings,energetic_emissions_other_ghg_energy,energetic_emissions_other_ghg_households,energetic_emissions_other_ghg_industry,energetic_emissions_other_ghg_transport,indirect_emissions_co2,non_energetic_emissions_co2_agriculture_manure,non_energetic_emissions_co2_agriculture_soil_cultivation,non_energetic_emissions_co2_chemical_industry,non_energetic_emissions_co2_other_industry,non_energetic_emissions_co2_waste_management,non_energetic_emissions_other_ghg_agriculture_fermentation,non_energetic_emissions_other_ghg_agriculture_manure,non_energetic_emissions_other_ghg_agriculture_other,non_energetic_emissions_other_ghg_agriculture_soil_cultivation,non_energetic_emissions_other_ghg_chemical_industry,non_energetic_emissions_other_ghg_other_industry,non_energetic_emissions_other_ghg_waste_management
GM0014,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0034,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0037,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0047,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0050,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0059,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0060,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0072,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0074,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0080,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0085,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0086,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0088,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0090,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0093,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0096,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0098,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0106,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0109,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0114,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0118,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0119,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0141,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0147,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0148,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0150,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0153,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0158,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0160,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0163,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0164,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0166,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0168,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0171,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0173,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0175,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0177,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0180,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0183,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0184,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0189,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0193,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0197,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0200,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0202,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0203,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
